secret,question,ig
abacus,Guesser said: What size is the object you are thinking of?,3.699176193450171e-05
abacus,Guesser said: Is the object man-made?,0.002192578947195045
abacus,Guesser said: What is the primary material the object is made of?,0.025262356761636795
abacus,Guesser said: Does the object have moving parts?,0.002192578947195045
abacus,Guesser said: Is the object something that can be held in your hand?,0.002192578947195045
abacus,Guesser said: Is the object used for a specific task or function?,0.002192578947195045
abacus,Guesser said: I'm going to take a guess that the object is a wooden ruler.?,0.0028133764601534494
abacus,Guesser said: Does the object have strings?,0.0028133764601534494
abacus,Guesser said: Is the object used for a task related to food or cooking?,0.0028133764601534494
abacus,Guesser said: Is the object used for entertainment?,0.0028133764601534494
abacus,Guesser said: Is the object used for a task related to crafts or art?,0.0028133764601534494
abacus,Guesser said: Does the object have a distinct or unusual smell?,0.0028133764601534494
abacus,Guesser said: Is the object used primarily with the hands?,0.002192578947195045
abacus,Guesser said: Is the object used for a task related to personal grooming?,0.0028133764601534494
abacus,Guesser said: Does the object make a sound when used?,0.002192578947195045
abacus,Guesser said: I'm going to take a guess that the object is a wooden flute.?,0.0028133764601534494
abacus,"Guesser said: Is the object used for a task related to music, but not a musical instrument?",0.0028133764601534494
abacus,Guesser said: Is the object commonly found in an office or workspace?,0.002192578947195045
abacus,"Guesser said: Does the object serve a functional purpose, such as holding or organizing something?",0.002192578947195045
abacus,Guesser said: I'm going to take a guess that the object is a wooden desk organizer.?,0.0028133764601534494
abacus,Guesser said: Is the object used for writing or drawing?,0.0028133764601534494
abacus,"Guesser said: Does the object have a mechanical mechanism, such as gears or levers?",0.002192578947195045
abacus,Guesser said: I'm going to take a guess that the object is a wooden pencil sharpener.?,0.0028133764601534494
abacus,Guesser said: Is the object used to manipulate or interact with paper in some way?,0.0028133764601534494
abacus,Guesser said: Is the object used to fasten or join things together?,0.0028133764601534494
abacus,Guesser said: Does the object have a rotating or turning part?,0.002192578947195045
abacus,Guesser said: I'm going to take a guess that the object is a wooden stapler.?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure or quantify something?,0.002192578947195045
abacus,Guesser said: I'm going to take a guess that the object is a wooden protractor.?,0.0028133764601534494
abacus,Guesser said: Does the object have numbers or markings on it?,0.002192578947195045
abacus,Guesser said: I'm going to take a guess that the object is a wooden clock.?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure time?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure length or distance?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure weight or mass?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure temperature?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure pressure?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure volume or capacity?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure angles or shapes?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure speed or velocity?,0.0028133764601534494
abacus,Guesser said: Is the object used to measure force or torque?,0.0028133764601534494
abacus,"Guesser said: Is the object used to measure electrical properties, such as voltage or current?",0.0028133764601534494
