helmet, What does the object look like?, The object is typically rounded or oval in shape., Shape:0.8,Egg:0.7,Sphere:0.6,Fruit:, Shape:0.38095238095238093,Egg:0.3333333333333333,Sphere:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 4
, helmet, What is the object's typical size?, The object's typical size is around 10 inches in diameter and 8 inches in height., Size:0.9,Diameter:0.8,Height:0.7,Footstool, Size:0.37499999999999994,Diameter:0.3333333333333333,Height:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, helmet, What is the object's function?, The object's function is to protect the head., Helmet:0.9,Protection:0.8,Head:0.7,Safety:, Helmet:0.37499999999999994,Protection:0.3333333333333333,Head:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, helmet, What is the object made of?, The object is made of plastic., Plastic:0.9,Material:0.8,Synthetic:0.7,Polymer, Plastic:0.37499999999999994,Material:0.3333333333333333,Synthetic:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, microcomputer, What does the object look like?, The object is small enough to be held in one's hand., Size:0.8,Handheld:0.7,Compact:0.6,Portable, Size:0.38095238095238093,Handheld:0.3333333333333333,Compact:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 6
, microcomputer, What is the object's shape?, The object's shape is a rectangle., Rectangle:0.9,Square:0.7,Geometric:0.6,Box:, Rectangle:0.40909090909090906,Square:0.3181818181818181,Geometric:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 5
, microcomputer, What is the object's purpose?, The object's purpose is to process information., Information:0.8,Processing:0.7,Computer:0.6,Data, Information:0.38095238095238093,Processing:0.3333333333333333,Computer:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 4
, microcomputer, What material is the object made of?, Plastic and metal., Plastic:0.8,Metal:0.7,Composite:0.6,Durable, Plastic:0.38095238095238093,Metal:0.3333333333333333,Composite:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 3
, microcomputer, My guess is a phone.?, No., Phone:-0.9,Communication:-0.8,Mobile:-0.7,Technology:, Not Phone:0.37499999999999994,Not Communication:0.3333333333333333,Not Mobile:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, microcomputer, How does the object process information?, The object uses a microprocessor to process information., Microprocessor:0.9,Processor:0.8,Chip:0.7,Circuit, Microprocessor:0.37499999999999994,Processor:0.3333333333333333,Chip:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, microcomputer, My guess is a computer.?, Correct., Computer:1.0,Technology:0.9,Information:0.8,Processing:, Computer:0.37037037037037035,Technology:0.3333333333333333,Information:0.2962962962962963, information_gain: 7.566021715561882, remaining_turns: 0
, sweatshirt, What does the object look like?, It is a piece of clothing with sleeves., Sleeves:0.8,Clothing:0.7,Apparel:0.6, Sleeves:0.38095238095238093,Clothing:0.3333333333333333,Apparel:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 7
, sweatshirt, What material is the object made of?, The object is made of fabric., Fabric:0.9,Textile:0.8,Cotton:0.7,Material, Fabric:0.37499999999999994,Textile:0.3333333333333333,Cotton:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, sweatshirt, What color is the object?, The object is blue., Blue:0.9,Color:0.8,Azure:0.7,Indigo:, Blue:0.37499999999999994,Color:0.3333333333333333,Azure:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, sweatshirt, How long are the sleeves on the object?, The sleeves are long., Long:0.8,Sleeves:0.7,Length:0.6,, Long:0.38095238095238093,Sleeves:0.3333333333333333,Length:0.2857142857142857, information_gain: 6.210636466544856, remaining_turns: 4
, sweatshirt, I'm going to guess the object is a blue jacket.?, No., Jacket:-0.9,Clothing:-0.8,Blue:-0.7,App, Not Jacket:0.37499999999999994,Not Clothing:0.3333333333333333,Not Blue:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, sweatshirt, How does the object fasten?, The object fastens with a zipper., Zipper:0.9,Fastening:0.8,Closure:0.7,, Zipper:0.37499999999999994,Fastening:0.3333333333333333,Closure:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, sweatshirt, What is the purpose of the object?, The object is worn to keep the body warm., Warmth:0.9,Temperature:0.8,Insulation:0.7,, Warmth:0.37499999999999994,Temperature:0.3333333333333333,Insulation:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, curtain, What is the general size of the object?, The object can vary in size., Size:0.7,Variable:0.6,Adjustable:0.5,Range, Size:0.3888888888888889,Variable:0.33333333333333337,Adjustable:0.2777777777777778, information_gain: 27.631021115928547, remaining_turns: 5
, curtain, What is the object typically used for?, The object is typically used for blocking or controlling light., Light:0.8,Control:0.7,Darkness:0.6,Sh, Light:0.38095238095238093,Control:0.3333333333333333,Darkness:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 4
, curtain, What material is the object typically made of?, Fabric., Fabric:0.9,Textile:0.8,Material:0.7,Cloth, Fabric:0.37499999999999994,Textile:0.3333333333333333,Material:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
