secret,question,ig,label
abacus,Guesser said: What is the general size of the object that you are thinking of?,0.0005215451280058403,Attribute
abacus,Guesser said: What is the purpose or function of the object that you are thinking of?,0.0006818121569693858,Function
abacus,Guesser said: What material is the object made of?,0.025262356761636795,Attribute
abacus,Guesser said: How does the object help with counting and basic arithmetic operations?,0.0017007112094677979,Function
abacus,Guesser said: I believe the object you are thinking of is an abacus.?,0.007656594399790606,Direct
accordion,Guesser said: What does the object look like?,0.00013459002018834099,Attribute
accordion,Guesser said: What is the primary function of the object?,0.003405015041934689,Function
accordion,Guesser said: What kind of sound does the object produce?,0.01837312043452144,Function
accordion,Guesser said: How does the user control the sound that the object produces?,0.0033078279227982677,Function
accordion,Guesser said: What is the texture of the surface of the object?,0.0035957546262359585,Attribute
accordion,Guesser said: I'm going to take a guess that the object is an accordion. ?,5.296363719153874e-05,Direct
album,Guesser said: What is the general shape of the object?,0.002209343198440905,Attribute
album,Guesser said: What is the object used for?,0.015016851107166218,Function
album,Guesser said: What is the typical size of the object?,0.00010171407863168724,Attribute
album,Guesser said: How does the object make the music?,0.00047207064969612134,Function
album,Guesser said: What is the object made of?,0.001161419204159131,Attribute
album,Guesser said: What is the music stored on?,0.0024497145751318783,Function
album,Guesser said: I guess the object is a CD case. ?,5.296363719153874e-05,Direct
album,uesser said: How is the object different from a CD case?,0.002756415033795534,Attribute
album,uesser said: What does the object look like on the outside?,0.0023623639617618153,Attribute
album,esser said: How does the object relate to the user of the object?,5.583110738882624e-05,Function
album,esser said: I guess the object is a CD player. ?,5.296363719153874e-05,Direct
album,sser said: How does the object hold the CDs?,0.0003516587706684504,Function
album,ser said: How does the user select which CD to listen to?,0.00013311966066709147,Function
album,ser said: What is on the outside of the sleeve?,7.019457332191337e-05,Attribute
album,ser said: I guess the object is a CD album.?,0.007656594399790606,Direct
altar,Guesser said: What is the general size of the object you are thinking of?,0.007047757508363617,Attribute
altar,Guesser said: How is the object used by people?,0.00032649754356839367,Function
altar,Guesser said: What material is the object made of?,0.01743028803657154,Attribute
altar,Guesser said: How does the object relate to the people who use it?,0.001299488937874571,Function
altar,Guesser said: What is the shape of the object?,0.002890902785029681,Attribute
altar,Guesser said: How does the object relate to the people who use it in their daily lives?,0.003511004632599679,Function
altar,Guesser said: What is the object's significance in the culture of the people who use it?,7.682581463441807e-05,Function
altar,Guesser said: I'm going to take a guess that the object is an altar. ?,5.296363719153874e-05,Direct
anchor,Guesser said: What is the object's size?,0.0009101317701265543,Attribute
anchor,Guesser said: How is the object used?,0.0017007112094677979,Function
anchor,Guesser said: What is the object's shape?,6.914825057435792e-05,Attribute
anchor,Guesser said: What is the object's purpose in the context of the ship or boat?,3.699176193450171e-05,Function
anchor,Guesser said: What is the object made of?,0.014253774608111058,Attribute
anchor,Guesser said: How does the object relate to the people who use it?,0.008073162214643048,Function
anchor,Guesser said: What is the environment in which the object is typically used?,0.030362978799647777,Location
anchor,"Guesser said: What are the object's physical characteristics, such as its weight, texture, and color?",0.00703330856816109,Attribute
anchor,Guesser said: I think the object is an anchor. ?,5.296363719153874e-05,Direct
anklet,Guesser said: What is the general shape of the object?,0.011443976277913492,Attribute
anklet,Guesser said: How does the object relate to people's daily lives?,0.0013833885618694808,Function
anklet,Guesser said: What is the object made of?,0.03213568300188996,Attribute
anklet,Guesser said: Is the object a watch?,0.0028133764601534494,Direct
anklet,Guesser said: What is the size of the object?,0.0069990100753365425,Attribute
anklet,Guesser said: What is the object's function?,0.010764862404066378,Function
anklet,Guesser said: What is the color of the object?,0.006594362075727389,Attribute
anklet,Guesser said: Is the object an earring?,0.0028133764601534494,Direct
anklet,Guesser said: What is the weight of the object?,0.0001354501284076548,Attribute
anklet,Guesser said: Is the object a ring?,0.0028133764601534494,Direct
anklet,Guesser said: How does the object stay on the person?,0.001660564547105281,Function
anklet,Guesser said: Is the object an anklet?,0.007656594399790606,Direct
anvil,Guesser said: What is the general shape of the object you are thinking of?,0.0017245660547295927,Attribute
anvil,Guesser said: What is the object used for?,0.0015993954150204104,Function
anvil,Guesser said: What is the material the object is made of?,0.03213568300188996,Attribute
anvil,Guesser said: How does the object shape the metal?,0.0012440640536439673,Function
anvil,Guesser said: What is the size of the object?,0.0033078279227982677,Attribute
anvil,Guesser said: What is my object?,0.0026531450962199443,Direct
anvil,Guesser said: What are some common locations where the object can be found?,0.0006129706493176457,Location
anvil,Guesser said: How is the object typically used in the context of shaping metal?,0.000361119250918307,Function
anvil,Guesser said: What is my object?,0.006234368965555959,Direct
anvil,Guesser said: What is the object's purpose in relation to the metal being shaped?,0.00044322972406973804,Function
anvil,Guesser said: What are the object's physical characteristics?,0.010017515236324215,Direct
anvil,Guesser said: My object is an anvil.?,0.007656594399790606,Direct
apron,Guesser said: What is the general size of the object you are thinking of?,0.00019793927190647764,Attribute
apron,Guesser said: What is the main purpose of the object you are thinking of?,0.00349100427833271,Function
apron,Guesser said: What is the material the object is made of?,0.006726697131334447,Attribute
apron,Guesser said: How is the object used in relation to the user's body?,0.00046317090671266214,Function
apron,Guesser said: What is the object you are thinking of?,0.0006787613549761318,Direct
apron,Guesser said: What is the typical color of the object you are thinking of?,0.00042870775065750877,Attribute
apron,Guesser said: How does the object you are thinking of differ from other objects that serve the same purpose?,0.00010561710000800417,Function
apron,Guesser said: What is the object you are thinking of?,0.0006379316684892444,Direct
apron,Guesser said: What is the object you are thinking of?,0.006234368965555959,Direct
apron,Guesser said: What are some common situations where the object is used?,0.03690014803384756,Function
apron,Guesser said: What is the object you are thinking of?,0.0006787613549761318,Direct
apron,Guesser said: What are some of the object's distinctive features?,0.0033078279227982677,Direct
apron,Guesser said: What is the object you are thinking of?,0.0006379316684892444,Direct
apron,Guesser said: What is the object's texture?,0.01550637931021015,Attribute
apron,Guesser said: What is the object you are thinking of?,0.0006787613549761318,Direct
apron,Guesser said: How does the object you are thinking of relate to other objects that are used for the same purpose?,0.00033468854107354673,Function
